"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2962846118130716330",="2962846118130716330","SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml","119.00","1","null","颜色分类：N1 SINCERE SARA (替换装);净含量：13ml","null","null","买家已付款，等待卖家发货","null",="2022102022001109941444170523","119.00","119.00","没有申请退款","无退款申请","2022-10-20 13:45:22","2022-10-20 13:45:27"
="2960109253937629253",="2960109253937629253","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","卖家已发货，等待买家确认","8809754820689",="2022101922001147155731064411","249.00","249.00","没有申请退款","无退款申请","2022-10-19 11:02:53","2022-10-19 11:03:00"
="2959923925505686424",="2959923925505686424","SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","149.00","1","8809525248018","净含量：50ml","null","null","卖家已发货，等待买家确认","8809525248018",="2022101922001199535725262130","149.00","149.00","没有申请退款","无退款申请","2022-10-19 09:37:26","2022-10-19 09:37:36"
="1706877015866635882",="1706877015866635882","SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","149.00","1","8809525248018","净含量：50ml","null","null","买家已付款，等待卖家发货","8809525248018",="2022101822001197815720408577","149.00","149.00","没有申请退款","无退款申请","2022-10-18 22:36:40","2022-10-18 22:36:44"
="2958749568068317714",="2958749568067317714","SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml","299.00","1","8809754820047","null","null","null","卖家已发货，等待买家确认","8809754820047",="2022101822001101075748692232","299.00","299.00","没有申请退款","无退款申请","2022-10-18 21:24:12","2022-10-18 21:24:27"
="2958749568069317714",="2958749568067317714","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","卖家已发货，等待买家确认","8809754820689",="2022101822001101075748692232","249.00","249.00","没有申请退款","无退款申请","2022-10-18 21:24:12","2022-10-18 21:24:27"
="1706837737432478579",="1706837737432478579","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","交易关闭","null",="2022101822001151761423805940","119.00","119.00","退款成功","119.00","2022-10-18 20:49:48","2022-10-18 20:49:56"
="2959314445922872832",="2959314445922872832","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","卖家已发货，等待买家确认","8809754820689",="2022101822001188475727886268","249.00","249.00","没有申请退款","无退款申请","2022-10-18 20:28:00","2022-10-18 20:28:11"
="1706321102164896591",="1706321102164896591","SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml","259.00","1","8809603904430","null","null","null","卖家已发货，等待买家确认","8809603904430",="2022101822001191861436330916","259.00","259.00","没有申请退款","无退款申请","2022-10-18 11:45:44","2022-10-18 11:45:53"
="1706179083681395183",="1706179083681395183","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022101822001122601447252943","119.00","119.00","没有申请退款","无退款申请","2022-10-18 10:16:24","2022-10-18 10:16:31"
="2958280058805601518",="2958280058805601518","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","卖家已发货，等待买家确认","8809754820689",="2022101822001160421446992858","249.00","249.00","没有申请退款","无退款申请","2022-10-18 08:40:29","2022-10-18 08:40:35"
="1706121409831566492",="1706121409830566492","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","卖家已发货，等待买家确认","8809754820689",="2022101822001124741422669051","249.00","249.00","没有申请退款","无退款申请","2022-10-18 05:56:32","2022-10-18 05:56:41"
="1706121409832566492",="1706121409830566492","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022101822001124741422669051","119.00","119.00","没有申请退款","无退款申请","2022-10-18 05:56:32","2022-10-18 05:56:41"
="2957047597432446845",="2957047597432446845","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022101722001105675734046264","119.00","119.00","没有申请退款","无退款申请","2022-10-17 20:54:52","2022-10-17 20:54:59"
="2957621619893937952",="2957621619893937952","SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","119.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="2022101722001185055729018446","119.00","119.00","没有申请退款","无退款申请","2022-10-17 20:10:59","2022-10-17 20:11:14"
="1704688861705247066",="1704688861705247066","SERUMKIND韩国阳光葡萄清颜精华液30ml","249.00","1","8809754820689","null","null","null","买家已付款，等待卖家发货","8809754820689",="2022101722001194821428997867","249.00","249.00","没有申请退款","无退款申请","2022-10-17 00:30:31","2022-10-17 00:30:48"
